gene_name,TCGA-09-2044-01,TCGA-13-1505-01,TCGA-25-1319-01,TCGA-25-2397-01
MST1R,3.4358,0.2762,0.4761,3.0585
MTCP1,3.2988,1.2271,1.9302,3.3563
MTOR,3.7356,3.7464,4.4115,3.8239
MUC5AC,-9.9658,-9.9658,-6.5064,-5.5735
MUC5B,-2.2447,-0.5973,3.3321,4.7882
MYB,3.741,2.8014,3.1813,-1.5522
MYC,5.1027,5.3782,5.8061,6.1561
MYD88,4.5808,4.5104,5.1647,4.2877
MYH6,-3.6259,-2.5479,-5.0116,-9.9658
MYH7,-9.9658,-9.9658,-6.5064,-9.9658
MYL2,-9.9658,-9.9658,-9.9658,-9.9658
MYL3,-2.0529,0.434,-4.2934,-2.9324
MYL4,-1.5105,-3.0469,-2.8262,-2.6349
MYL6,10.8678,10.8614,11.1078,10.2509
MYL6B,6.5627,6.3413,6.4251,5.7156
MYL9,6.7776,9.0069,5.8748,7.1826
MYLK,3.9774,4.764,4.6645,4.041
MYLK2,-1.0559,0.3573,0.4233,-3.6259
MYLK3,-1.685,-3.3076,-2.3147,-1.7322
MYLK4,-3.6259,-2.5479,-2.3147,0.099
NAIP,1.1577,2.5972,2.6067,1.9601
NAMPT,4.9668,3.603,4.2906,5.2567
NANOG,-3.6259,-4.2934,-3.3076,-5.0116
NANOGP8,-9.9658,-2.6349,-3.3076,-9.9658
NBL1,4.3883,6.3925,2.8838,7.639
NCF1,2.8034,1.614,1.7744,1.9601
NCK1,6.5124,4.073,4.4283,5.0824
NCK2,4.5318,6.1563,4.5626,4.4283
NCOA1,1.7828,3.5362,3.2929,2.6114
NCOA2,2.9262,2.9929,5.5937,2.4386
NCOA3,3.0671,3.1781,3.8808,2.3649
NCOR1,2.2723,5.1543,5.6153,4.6212
NCOR2,4.9002,7.4828,6.2263,4.6404
NCSTN,5.5317,6.3384,6.3049,5.4213
NEK7,4.2095,3.8601,3.5523,4.2381
NEO1,4.0867,3.9746,4.9723,3.9232
NF1,1.642,3.1112,3.3321,2.3536
NF2,3.5923,2.5313,3.4384,2.2082
NFATC1,1.6964,2.9637,2.4412,1.7995
NFATC2,-0.3022,1.7141,1.0642,0.3796
NFATC3,2.5828,2.5163,3.1475,2.7007
NFATC4,3.4856,5.5497,3.7171,2.2019
NFKB1,2.8158,2.8522,3.5694,3.8561
NFKB2,5.4983,4.3618,4.1587,4.3364
NFKBIA,6.7744,6.4398,6.2032,6.3586
NFKBIB,5.0166,3.4318,3.1442,3.2143
NFKBIE,3.1426,2.2783,3.2766,1.3109
NGF,-0.4921,0.2522,-1.0559,-0.9132
NGFR,-0.4325,1.7786,-2.3147,-0.394
NKD1,0.099,4.0918,0.1519,0.1388
NKD2,1.2023,4.3758,0.0158,0.4552
NLK,2.4492,2.5658,3.0825,2.1862
NLRC4,-0.7588,-1.685,-0.4521,-1.0559
NLRP1,1.3623,4.2072,2.9071,0.1903
NLRP12,-4.2934,-3.6259,-4.035,-2.5479
NLRP3,-0.4921,-0.9971,-0.8339,-0.3022
NLRP6,-9.9658,-3.6259,-1.4699,-1.7809
NLRP7,0.4865,0.8568,-1.9379,5.5043
NLRX1,1.8078,2.1147,1.4065,2.9857
NOD1,1.3735,1.4065,1.1382,1.4756
NOD2,1.1833,-0.8339,-0.9686,-0.4921
NODAL,-4.2934,-3.6259,-3.3076,-2.9324
NOG,-2.9324,-0.9686,-9.9658,-3.6259
NOS1,-2.1779,1.7575,-5.5735,-3.0469
NOS2,-4.6082,-4.035,-3.0469,-6.5064
NOS3,3.483,0.5271,2.5634,3.2034
NOTCH1,1.7009,2.909,1.5216,0.7146
NOTCH2,3.2915,4.2624,4.3992,4.1094
NOTCH3,5.124,5.9248,5.935,2.1247
NOTCH4,1.3846,1.2023,2.2603,1.0363
NOTUM,-2.1779,4.8699,-1.3921,0.1648
NOX1,-5.0116,-3.816,-3.3076,-4.6082
NOX4,2.9205,1.196,-0.1828,-1.1488
NPPA,-9.9658,-2.6349,-1.9379,-9.9658
NPPB,-2.114,-2.8262,-9.9658,-2.7274
NPPC,-2.7274,-1.685,-2.8262,-3.816
NPR1,5.467,4.421,3.6254,6.0993
NPR2,2.0638,3.3773,2.6783,3.2435
NPRL2,5.5865,4.5862,4.3903,4.6759
NPRL3,4.0189,6.2231,5.3363,4.3695
NPY,-0.013,-3.458,-9.9658,5.3024
NPY1R,-2.7274,-1.9942,-2.3147,1.9712
NR1H3,5.322,3.8421,4.2196,3.8719
NR4A1,3.1908,4.6921,2.9205,2.7721
NRAS,5.3629,4.061,4.7383,3.8847
NRF1,2.7205,2.7379,2.3953,2.6114
NRG1,-1.4305,-1.5105,-0.0725,0.2029
NRG2,0.2522,-1.8836,-1.3183,-1.0559
NRG3,-1.7322,1.1184,-3.458,-5.5735
NRG4,-0.6873,-0.0725,1.7532,0.8246
NSMAF,3.091,2.9488,2.5876,3.3883
NTF3,1.9749,2.8402,1.0222,0.688
NTF4,-0.013,1.4808,-2.7274,3.1475
NTRK1,-3.0469,-3.458,-1.3183,-5.0116
NTRK2,0.2998,0.2998,0.5763,-2.1779
NTRK3,-3.3076,2.828,-2.3884,-3.816
NTSR1,-2.9324,-5.0116,-9.9658,-3.816
NUMB,4.7132,4.3653,4.5098,3.6543
NUMBL,4.6815,4.2556,3.9728,4.4337
OLR1,2.4727,1.8323,1.177,2.5561
OPRD1,-5.0116,-5.0116,-4.2934,-4.6082
OPRM1,-9.9658,-9.9658,-9.9658,-9.9658
ORAI1,4.3256,3.7367,4.9232,3.3177
ORAI2,3.0602,3.5073,3.2267,3.2662
ORAI3,3.5959,3.5863,4.7093,4.2412
OSM,1.9149,-0.5125,-0.394,0.6425
OSMR,2.167,3.2251,2.6579,3.1507
OTUD5,5.0242,5.3906,5.5687,4.8851
OXT,-1.9942,-0.9406,-9.9658,-3.1714
OXTR,1.0433,0.4657,-0.1031,1.4859
P2RY1,-1.7322,-2.114,-1.5951,0.058
PAK1,4.6189,4.9151,9.4553,4.49
