gene_name,TCGA-A4-7288-01,TCGA-A4-7583-01,TCGA-A4-7584-01,TCGA-A4-7585-01,TCGA-A4-7734-01,TCGA-A4-7915-01,TCGA-A4-7997-01,TCGA-A4-8098-01,TCGA-A4-8311-01,TCGA-A4-8517-01,TCGA-A4-8630-01,TCGA-A4-A57E-01,TCGA-AL-3472-01,TCGA-AL-3473-01,TCGA-AL-7173-01,TCGA-B1-5398-01,TCGA-B1-7332-01,TCGA-B1-A47M-01,TCGA-B1-A47N-01,TCGA-B1-A654-01,TCGA-B1-A657-01,TCGA-B3-8121-01,TCGA-B9-5155-01,TCGA-B9-5156-01,TCGA-B9-7268-01,TCGA-B9-A44B-01,TCGA-B9-A5W7-01,TCGA-B9-A5W8-01,TCGA-B9-A5W9-01,TCGA-B9-A69E-01,TCGA-BQ-5875-01,TCGA-BQ-5877-01,TCGA-BQ-5878-01,TCGA-BQ-5879-01,TCGA-BQ-5880-01,TCGA-BQ-5881-01,TCGA-BQ-5882-01,TCGA-BQ-5883-01,TCGA-BQ-5885-01,TCGA-BQ-5887-01,TCGA-BQ-5888-01,TCGA-BQ-5889-01,TCGA-BQ-5890-01,TCGA-BQ-5891-01,TCGA-BQ-5892-01,TCGA-BQ-5893-01,TCGA-BQ-5894-01,TCGA-BQ-7044-01,TCGA-BQ-7046-01,TCGA-BQ-7048-01,TCGA-BQ-7050-01,TCGA-BQ-7051-01,TCGA-BQ-7053-01,TCGA-BQ-7055-01,TCGA-BQ-7058-01,TCGA-BQ-7059-01,TCGA-BQ-7060-01,TCGA-BQ-7061-01,TCGA-BQ-7062-01,TCGA-DW-5560-01,TCGA-DW-5561-01,TCGA-DW-7834-01,TCGA-DW-7837-01,TCGA-DW-7838-01,TCGA-DW-7839-01,TCGA-DW-7840-01,TCGA-DW-7841-01,TCGA-DW-7842-01,TCGA-DW-7963-01,TCGA-DZ-6131-01,TCGA-DZ-6132-01,TCGA-DZ-6133-01,TCGA-DZ-6134-01,TCGA-DZ-6135-01,TCGA-EV-5901-01,TCGA-EV-5902-01,TCGA-EV-5903-01,TCGA-F9-A4JJ-01,TCGA-G7-6789-01,TCGA-G7-6790-01,TCGA-G7-6792-01,TCGA-G7-6793-01,TCGA-G7-6795-01,TCGA-G7-6796-01,TCGA-G7-6797-01,TCGA-G7-7501-01,TCGA-G7-7502-01,TCGA-G7-A4TM-01,TCGA-GL-6846-01,TCGA-GL-7773-01,TCGA-GL-7966-01,TCGA-GL-8500-01,TCGA-GL-A4EM-01,TCGA-GL-A59R-01,TCGA-HE-7128-01,TCGA-HE-7129-01,TCGA-HE-A5NF-01,TCGA-HE-A5NH-01,TCGA-HE-A5NI-01,TCGA-HE-A5NJ-01,TCGA-HE-A5NL-01,TCGA-IA-A40U-01,TCGA-IA-A40X-01,TCGA-IA-A40Y-01,TCGA-IZ-8195-01,TCGA-IZ-8196-01,TCGA-IZ-A6M8-01,TCGA-J7-6720-01,TCGA-J7-8537-01,TCGA-KV-A6GD-01,TCGA-KV-A6GE-01,TCGA-MH-A55Z-01,TCGA-MH-A560-01,TCGA-MH-A562-01,TCGA-P4-A5E6-01,TCGA-P4-A5E7-01,TCGA-P4-A5E8-01,TCGA-P4-A5EA-01,TCGA-P4-A5EB-01,TCGA-P4-A5ED-01,TCGA-PJ-A5Z8-01,TCGA-PJ-A5Z9-01,TCGA-Q2-A5QZ-01
BRAP,2.6693,2.828,2.9984,2.9262,2.93,2.8819,3.4804,3.2826,1.9601,2.9488,2.5061,2.4727,2.1702,2.1957,3.2143,2.5137,2.5756,2.2452,2.6185,2.5462,2.3898,2.8897,2.7095,3.1924,2.9692,2.236,3.0808,2.5288,2.9618,2.6019,2.8779,3.8002,2.9784,2.8137,2.3222,1.3051,3.1685,3.0217,2.4439,2.909,2.1509,2.6371,2.4571,3.837,2.8361,2.7117,2.8936,2.2842,2.1766,2.6255,2.8199,2.9637,2.6255,2.8897,1.8484,2.8936,2.4857,3.2511,2.9148,2.0535,2.6371,2.3592,3.1112,2.5263,2.826,2.6185,3.0038,2.7139,2.236,2.9205,3.2557,3.2885,3.0163,2.7636,2.9205,2.7183,2.7161,2.8462,2.5036,2.6487,2.6161,2.6579,1.7995,2.3337,2.9911,3.2662,2.496,2.8582,3.1409,2.7487,3.5851,2.8442,2.2872,3.055,3.2189,2.8641,2.7249,2.7073,1.9111,2.9729,2.6255,3.3856,2.2573,3.1844,2.0912,2.7205,2.5852,2.6828,3.453,2.4623,2.4439,2.7993,3.011,2.9167,2.5338,2.409,2.9948,2.4571,3.0791,2.1988,3.2959,2.824,3.1908
BRCA1,2.4908,1.1382,1.4281,0.7146,1.5366,3.2766,1.3397,1.4808,0.9268,0.9191,1.1382,2.4753,-0.5973,-0.3022,0.4125,-0.6873,0.5763,1.7141,-0.3201,0.434,1.3051,1.692,1.2271,2.1925,1.2934,0.8805,0.7146,0.4967,0.8164,-0.1504,1.1447,1.105,1.6327,2.0147,-0.1504,-0.7834,1.5709,0.6145,-0.394,-0.3022,0.2998,0.4761,1.1117,2.4306,1.8722,1.7053,2.7007,0.7233,1.6466,-0.5332,-0.1031,1.6604,1.2815,0.1903,-0.0574,-0.3566,1.2576,1.674,0.7146,1.196,0.9642,0.044,0.2277,-0.2498,1.5465,1.4911,0.5859,0.8488,1.0433,1.3397,1.2696,2.362,0.6608,0.537,1.5563,0.2881,1.1512,2.3423,1.0293,1.5465,1.2992,1.6234,0.4125,-0.5973,1.0007,1.9786,0.7233,1.2333,2.0569,0.3685,3.6691,1.2085,-0.5973,1.3109,0.9038,1.6045,1.2023,1.2576,0.9115,2.0395,0.5568,0.1257,-0.2328,1.1382,0.1776,1.4859,0.2762,1.2516,2.4831,0.0014,0.03,0.7493,-0.1828,0.3907,-0.394,1.4808,1.816,1.4011,1.0642,-0.394,1.0503,0.2642,1.1382
BRCC3,3.7857,3.7571,3.1797,3.6054,3.4881,3.869,3.8054,2.8502,3.0181,2.8034,3.4933,2.6418,1.7403,2.1894,2.0325,2.0673,3.7529,2.876,1.7446,2.4701,3.7421,3.4264,3.7464,3.2267,3.3235,2.4544,3.4856,2.9469,3.3856,2.8838,3.603,3.7324,3.8778,3.755,2.7029,1.4911,3.091,3.2511,2.1957,3.1228,2.3704,2.4008,3.1028,4.1531,3.074,3.7324,2.872,3.309,3.1749,2.8199,3.4318,3.8208,3.2526,3.5086,2.6464,2.6556,3.222,3.1955,2.9013,1.8078,2.3871,2.8562,3.3003,3.2557,3.287,2.0878,2.8178,3.3856,2.4439,4.0523,3.1844,3.5815,3.0774,3.5486,3.2343,3.2988,3.1908,3.4411,2.1013,3.5718,3.449,2.6556,0.8961,2.0979,3.9022,4.2995,3.449,2.8014,3.1327,3.3759,3.8471,3.5424,1.9073,2.9128,3.1294,3.7699,2.8602,3.5411,1.8957,2.5561,2.6533,2.7657,3.0876,3.551,2.8178,3.3407,2.1378,3.2481,3.4264,2.6208,2.376,1.9749,2.3788,1.9895,2.6602,3.6136,3.7421,2.609,3.8561,2.1574,3.2435,3.0481,1.6327
BTC,1.5709,0.8961,1.6327,0.3796,2.3871,2.8799,2.2113,0.7832,0.3796,1.1512,1.0222,-0.4521,2.0325,0.5666,0.4552,0.346,0.1648,1.7786,0.8568,0.8488,0.3685,0.2522,1.3846,1.2271,0.434,0.1903,0.7407,0.1388,0.679,0.7579,-0.4131,1.6964,1.5902,1.3846,-0.5332,-0.8084,0.058,2.5188,-0.3201,-0.5973,0.2642,0.6239,-0.4131,1.0293,-0.0277,0.8164,2.0254,1.5854,-0.0425,1.4494,1.3397,0.2522,1.0151,0.2522,-1.2481,1.4281,0.6425,1.1833,0.5568,0.4233,1.3735,1.4228,1.2992,0.8726,2.5413,0.4761,1.2209,1.8604,0.1776,0.7493,0.9935,0.3685,0.2154,2.0004,2.036,-0.5756,1.8404,0.7664,0.7321,0.0718,1.6604,2.7357,-0.8863,-0.9686,0.7832,0.2029,1.949,1.595,1.0503,1.2455,-1.1811,1.0293,-0.7834,1.2333,0.7999,1.0363,0.4125,2.1606,0.0718,1.5064,1.1184,-0.1345,1.2209,1.2333,-1.2142,2.0465,-0.1828,1.4756,0.3115,-0.1828,0.2998,1.2023,-0.4325,0.6145,0.2522,1.5465,1.1117,0.2762,0.8805,0.2762,1.2696,0.4233,-1.1172
BTK,-0.1993,1.6466,0.346,2.3366,1.5854,-0.6643,2.7249,0.2762,0.0158,1.2696,0.2881,0.9789,0.9038,3.2328,0.9935,2.9875,1.2576,0.4125,2.4518,1.8242,2.6138,3.3264,0.5666,2.0638,-0.3201,-1.3183,2.0076,2.8219,-0.1187,3.1733,1.1833,2.5536,0.2029,1.6466,0.5763,1.5013,1.3051,0.1776,1.3109,2.1013,1.787,3.0163,0.8082,-0.013,1.8404,0.2998,1.8242,-0.3752,2.081,1.6604,1.5563,-0.3752,1.1447,-0.3752,-1.0862,3.4894,1.7273,1.3397,2.8341,1.1447,1.6964,2.0742,2.2543,2.5536,-2.9324,1.816,3.2915,0.5666,1.3283,7.4603,3.6972,-0.2159,2.5388,2.2633,2.2693,-0.7834,2.05,1.1184,-0.2845,0.7058,1.4704,0.9419,0.3573,1.0573,0.4447,1.0573,3.0515,2.3451,0.4125,1.2209,1.0222,0.1648,1.6187,2.876,4.048,1.1641,2.876,1.6695,1.9931,-0.2328,2.409,2.0878,1.196,0.4125,-0.4131,1.0847,2.2842,2.5804,2.2783,3.5911,1.9377,1.2756,0.2881,2.3564,1.4281,1.8201,-1.7322,3.5572,0.3115,4.1269,3.0619,1.1641,1.9859
BTRC,2.7465,2.4306,2.2144,2.0183,2.8402,2.1047,2.7073,2.4649,1.8404,2.0535,2.3704,1.5415,2.3451,1.5216,1.8201,1.9822,2.299,1.8323,1.9786,1.7273,2.4332,2.5163,2.5852,2.4779,2.1313,0.8726,2.1988,2.3019,2.299,1.7446,2.0183,2.6255,2.578,2.9581,1.3454,0.4967,1.6327,2.2783,1.412,1.5806,1.6093,1.5216,1.5415,2.2113,1.8444,1.949,2.1988,1.6512,2.108,1.6604,2.2573,2.7742,2.2842,2.0325,0.5568,2.233,2.3193,2.2753,2.2391,1.9073,2.3366,1.9564,2.233,2.0604,2.3843,1.9749,2.0183,2.5634,1.1512,2.4753,2.5683,2.6533,2.0183,2.7007,2.8361,2.3508,2.561,2.2663,1.2516,2.2482,2.3732,2.2051,1.5165,1.7995,2.4805,1.6045,2.2663,2.2543,2.5288,2.2573,2.1798,2.236,1.4388,2.4386,2.3077,2.5924,1.8918,2.8381,1.5612,2.4649,1.6785,1.7575,1.8078,2.2299,1.5806,2.9966,1.2875,2.4985,2.1574,1.8722,1.787,1.8444,0.605,1.787,1.7273,2.7615,2.5188,1.7617,2.118,2.0183,2.578,2.1345,0.7493
BUB1B-PAK6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB39,4.811,5.243,4.5324,4.0688,4.9426,4.7597,5.5479,4.0627,3.9552,4.3576,4.3413,4.7329,3.3076,4.3335,4.2736,4.3779,5.1875,3.6312,2.7357,3.5436,4.9851,4.7138,4.9607,4.7127,4.8156,3.1588,4.892,4.9878,4.4938,3.8866,4.5982,5.0436,4.0028,5.0618,3.603,2.8661,4.588,5.7198,4.1852,4.4054,3.5187,4.4183,4.0567,4.8105,4.4223,5.3913,5.1469,4.3213,4.5638,4.298,4.421,5.0365,4.5904,5.1136,2.7161,4.7772,4.4602,4.2304,4.5154,2.6043,4.4516,4.4216,4.9374,4.5766,4.7751,3.9719,4.3972,5.0985,4.0304,4.5705,4.9896,5.1891,4.7783,5.2612,4.9819,4.3793,4.9036,4.637,4.1668,5.022,4.844,5.5475,2.9507,3.6125,5.0605,5.0348,5.5949,4.5261,4.5186,4.8064,5.3147,5.1194,3.4424,4.6364,5.3187,4.7688,4.3723,4.846,3.6077,4.3435,4.2728,4.5342,4.47,4.3477,3.3966,5.0023,3.795,4.7209,4.838,4.6277,4.2721,3.9746,4.3278,3.6359,3.6136,4.6023,4.1285,4.1153,5.168,3.7061,5.0036,4.9241,1.7828
CAB39L,2.8877,2.3164,2.2144,1.6604,3.0498,0.9789,2.6895,2.2543,2.1766,1.7097,3.3407,0.9862,1.614,2.2931,1.9452,1.2992,3.0287,1.7141,1.4911,1.8918,2.1444,2.7161,2.9893,1.4652,1.9415,1.614,1.949,2.909,2.6278,1.2934,2.6556,2.9765,2.0979,1.7009,1.6045,0.4761,1.7575,2.8341,2.6302,2.1114,1.8996,1.6187,1.2147,1.692,1.7575,1.196,1.9452,1.5415,2.4252,2.8076,3.9673,2.4597,2.0004,3.2841,0.688,1.642,2.5707,2.5707,1.736,1.642,2.6043,1.8722,1.9895,1.7744,3.3192,1.8722,1.4911,2.8096,1.2992,2.3394,2.3479,2.7379,1.9302,2.7051,2.2051,3.0893,2.5238,1.1897,1.7097,2.167,2.3193,2.0183,1.4388,2.3508,1.9859,3.5742,2.362,1.9452,1.6964,2.1378,0.3346,2.9637,0.9493,2.4359,2.1444,3.1011,1.5013,2.3732,1.0007,1.8323,1.1184,2.1702,2.2693,1.6466,1.7316,2.9167,2.5876,2.3394,0.9493,2.0183,1.5806,1.9188,1.0079,1.7786,1.3225,2.5852,0.4552,1.2209,3.4437,1.7053,2.2872,2.299,0.346
CACNA1C,-1.9379,-2.3147,-4.2934,-0.1993,-1.5105,-0.3201,-2.2447,-2.6349,-2.114,-3.6259,-4.6082,-2.6349,-2.6349,-2.6349,-1.9942,-2.1779,-2.7274,-3.6259,-2.114,-4.2934,-2.7274,-1.6394,-3.6259,-3.1714,-2.8262,-0.2328,-2.9324,-2.7274,-1.5522,-0.2159,-2.5479,-0.1828,-1.0559,-0.4131,-0.8084,-3.3076,-0.3383,-0.5332,-2.5479,1.4494,-2.1779,0.5763,-2.6349,-1.5105,0.7999,-0.8084,0.4552,-2.6349,-3.3076,-1.5105,-2.8262,-3.816,-1.0862,-0.3201,-2.3884,-0.8084,-2.4659,-0.8863,-1.5105,-1.6394,-1.7809,-1.685,-1.685,-2.0529,-1.3921,-2.3884,-1.5951,-2.7274,-2.0529,-0.6193,-0.5973,-1.8314,-0.2671,-2.1779,-0.4131,-2.9324,0.1257,-2.1779,1.1316,-2.8262,-2.8262,0.346,-3.458,-2.7274,-2.3147,-1.2481,-1.2481,-1.7322,-2.5479,-3.0469,0.0854,-3.816,-2.1779,-4.035,-2.3147,-5.0116,-3.0469,-1.2828,-2.8262,-1.1811,-2.3884,-2.3147,-1.0862,-0.9971,-2.8262,-1.0262,-4.6082,-1.685,-0.9686,0.3907,-3.3076,-1.1811,-2.8262,-5.5735,-5.0116,-1.2481,-0.5973,-1.0559,-2.6349,-1.7322,-0.2328,-2.9324,-4.2934
CACNA1D,3.1179,2.0395,1.6785,-0.5543,2.3704,-0.8339,1.6604,-2.7274,2.4359,1.614,1.8996,-0.3201,1.4652,-1.2142,-0.0877,0.8246,0.6608,0.6239,2.3926,-0.0725,1.1706,0.7233,1.642,2.081,1.4808,1.6327,1.5366,-0.1665,0.5568,-0.1665,0.4447,1.3109,-0.4325,-1.3183,-1.2481,0.099,1.46,2.2175,0.537,0.3573,0.5763,-0.9132,0.9038,1.2636,-0.8863,-1.2142,-0.5973,0.7579,2.3592,1.3511,1.2934,1.334,2.4492,1.1833,0.4233,1.177,2.2299,1.7009,1.9377,1.736,1.1382,0.5666,0.7579,1.6695,1.3567,1.3109,0.8082,1.6187,0.8164,0.7146,0.5955,2.296,1.8762,1.8036,1.7403,1.9188,1.8879,-1.4305,2.2783,2.1766,2.3106,0.3796,0.4865,0.6699,2.4332,0.6699,1.3051,2.2144,2.5238,1.2147,-1.2481,-0.1504,-0.0425,0.7233,2.1147,1.7273,1.6187,2.3019,1.7489,0.7579,2.0569,1.3225,1.614,-0.9686,1.1447,2.2723,-0.8863,0.044,0.7058,0.8805,1.6281,0.8726,0.3231,0.8961,0.2277,1.8996,0.0158,-0.0277,1.1897,1.0222,-0.2671,1.2147,0.3573
CACNA1F,-3.458,-3.458,-6.5064,-4.2934,-5.0116,-4.2934,-3.0469,-3.816,-2.8262,-5.5735,-6.5064,-6.5064,-4.6082,-1.4305,-1.8836,-4.6082,-4.035,-3.6259,-1.9379,-6.5064,-3.816,-3.458,-5.0116,-5.5735,-5.5735,-6.5064,-5.0116,-4.035,-6.5064,-3.816,-6.5064,-2.4659,-2.4659,-9.9658,-6.5064,-9.9658,-2.8262,-3.6259,-1.8314,-5.0116,-1.6394,-3.3076,-4.2934,-9.9658,-3.0469,-6.5064,-5.5735,-5.5735,-4.6082,-1.9942,-3.1714,-3.816,-4.6082,-4.6082,-9.9658,-2.9324,-5.0116,-9.9658,-3.458,-2.9324,-3.0469,-5.0116,-2.8262,-3.816,-2.9324,-2.7274,-2.9324,-4.6082,-5.5735,-4.2934,-3.816,-5.5735,-5.0116,-3.816,-4.2934,-2.4659,-3.3076,-3.816,-0.4521,-2.8262,-5.0116,-9.9658,-4.6082,-5.5735,-4.2934,-3.458,-1.5522,-3.1714,-9.9658,-2.7274,-2.8262,-5.0116,-4.035,-3.3076,-4.035,-4.2934,-5.0116,-1.7322,-4.035,-1.7809,-4.6082,-2.3147,-4.2934,0.2277,-6.5064,-3.0469,-4.035,-4.035,-3.458,-2.3884,-3.816,-3.0469,-6.5064,-1.9942,-4.6082,-4.035,-6.5064,-5.0116,-3.0469,-0.6873,-4.2934,-2.9324,-3.6259
CACNA1S,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-6.5064,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-6.5064,-6.5064,-6.5064,-6.5064,-4.2934,-5.5735,-5.5735,-5.0116,-9.9658,-5.0116,-6.5064,-5.5735,-5.5735,-6.5064,-3.1714,-6.5064,-5.0116,-5.0116,-9.9658,-5.0116,-9.9658,-9.9658,-6.5064,-6.5064,-9.9658,-3.1714,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-6.5064,-6.5064,-5.5735,-9.9658,-6.5064,-6.5064,-9.9658,-9.9658,-9.9658,-2.4659,-9.9658,-5.0116,-9.9658,-9.9658,-6.5064,-9.9658,-5.5735,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-1.8836,-9.9658,-6.5064,-9.9658,-9.9658,-2.3147,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.114
CACNA2D1,2.5137,-3.458,-2.6349,2.6395,1.7575,2.6255,2.1444,-1.9942,-0.7834,0.3231,-0.013,3.5473,1.5514,0.5859,0.8568,0.8164,0.517,-3.6259,0.7493,-0.1828,0.8408,2.0535,0.2762,-0.9406,-4.2934,0.058,1.5806,-3.3076,0.9642,-0.1665,1.2934,1.9968,3.0305,3.3177,0.605,-0.2498,2.8219,2.824,-1.2828,0.9493,-4.035,1.9859,1.334,2.1606,1.0079,1.2271,1.8484,1.5902,-1.9379,0.7579,1.4547,-2.7274,1.1897,-1.685,-3.0469,-0.8339,-2.7274,3.1717,-0.6643,-1.685,1.5316,0.2642,1.0983,1.683,-0.3383,0.4233,-0.2845,2.0289,-1.2142,1.3109,1.9675,2.6828,2.1702,0.3796,2.0638,1.1833,-0.5332,1.6512,1.5806,0.3573,1.3956,2.0289,0.4657,0.4761,2.1247,2.667,1.9302,0.9862,-2.3884,0.8164,2.6418,1.3791,-0.1504,1.3454,2.1247,-2.3147,2.1798,1.6512,2.2783,-1.5105,-3.1714,1.0363,1.5661,-0.9971,0.7321,2.8158,-1.9379,1.5563,2.3048,1.1184,1.5415,-3.816,0.058,0.7146,0.0854,1.9822,1.0847,0.3796,1.7617,0.1519,0.6699,0.6425,1.4494
CACNA2D2,-1.2828,-1.2828,-0.7588,-2.7274,-0.1504,-2.1779,-1.4699,-1.1172,-0.6193,-1.0559,-0.4131,-2.8262,0.2642,-3.458,-1.3183,-2.114,-0.4719,-0.6873,0.0014,-0.2159,-1.4699,-1.8314,0.6425,-1.0862,-0.3752,-2.5479,-1.6394,-1.5951,-1.4305,-1.5951,-0.5973,-1.5951,0.2998,-1.9942,-2.2447,-2.8262,-1.2481,2.0776,-0.1828,-1.4305,-2.0529,-0.6416,-3.0469,-1.3183,-3.1714,-3.1714,-2.6349,-0.394,-1.7322,-3.1714,-0.4921,-0.1993,-1.8836,1.1316,-2.3147,-1.5951,-2.5479,-2.3884,-0.2498,0.0718,-0.6643,-0.6873,-1.4305,-2.114,2.2051,-0.8084,-0.8339,0.6608,-2.0529,-2.7274,-1.7809,-0.9686,-1.7322,-1.1172,-0.9971,0.5568,-1.1811,-2.8262,-3.816,-1.6394,-0.6643,-1.4305,-1.1172,-1.9379,0.7233,0.1124,0.2998,0.3907,-2.3884,-1.685,0.4125,-0.9686,-2.7274,-0.8339,-1.5951,0.3907,-1.3921,-0.1993,-0.7834,1.7575,-1.3921,-1.1811,-1.8314,-0.4921,-0.1345,0.3907,-2.2447,-0.5756,-2.8262,-1.685,-1.685,-0.5125,-0.6193,-0.1993,-0.3201,-0.4521,1.8363,-1.7809,-1.9942,-0.8863,-1.9379,-1.5522,-3.1714
CACNA2D3,-2.8262,1.3623,-2.1779,-1.4305,0.8488,-1.8314,0.0718,0.605,-0.1828,-1.7322,-0.0425,-1.2828,1.177,-1.1488,-0.7588,0.4016,0.7999,0.044,0.5859,-0.1504,1.1382,0.2522,0.7493,-0.6193,-0.7588,0.4967,0.605,-0.1828,-1.0559,-0.6416,-0.3752,-0.8863,0.2998,-2.4659,-2.7274,-0.2671,-3.0469,0.7058,1.2271,-1.9379,0.2998,0.0158,-3.458,-2.114,-1.3921,0.8805,0.9343,-0.1665,-1.3183,0.2642,-1.685,-0.6643,0.044,-3.1714,-5.0116,-0.4921,-0.6873,-1.5522,0.5763,1.4388,-0.1665,0.688,0.2642,0.2522,0.2154,-0.6643,0.8327,1.1447,-0.1345,-3.816,-0.3752,-1.6394,-1.1488,1.0363,1.0779,1.766,-0.5973,-1.3548,-4.035,-0.1345,0.679,0.9419,-1.0262,-0.8599,2.376,-0.1993,1.0503,0.1903,-1.4305,1.2333,-0.3566,1.6045,-2.1779,1.4174,-0.3752,0.4016,0.0158,0.688,-0.8339,-1.5522,0.2154,-0.2498,1.3109,-0.9686,-2.3884,0.547,-2.2447,0.6332,-1.685,-0.2159,0.3115,0.547,-1.685,0.1388,0.6145,2.043,-0.4131,0.1257,3.2766,1.2085,0.1903,1.3846,-1.9942
CACNA2D4,0.7748,0.2881,0.5069,0.6969,1.6374,-0.4719,1.4859,0.2762,0.7664,0.4125,0.3796,1.9564,1.3791,1.692,1.2085,1.5465,0.1519,1.4335,2.2175,0.8647,1.7141,1.6093,0.605,2.0325,-0.0425,0.8082,2.1378,2.1766,-1.2481,1.6604,0.5271,0.9343,1.7575,-0.0574,0.8082,0.7493,0.4967,-1.2481,2.1702,0.6969,0.5666,2.9857,0.8164,-1.7809,0.0718,-1.3183,1.9895,-0.394,1.7185,0.8961,-1.2481,1.0293,1.0222,-1.0262,-0.7834,1.3397,0.6517,0.1519,1.46,0.7999,1.2394,1.5316,2.0076,1.8604,-0.1665,2.2144,2.9618,0.2881,0.547,1.8282,2.59,2.4805,1.1833,1.3846,1.4704,0.3907,1.3901,-0.9971,0.5069,1.2875,1.1641,0.8408,-0.1665,0.6969,0.7579,-1.685,2.7784,1.9786,0.099,0.0014,0.2154,0.6517,0.4447,1.9226,1.4174,1.7828,1.1447,0.346,0.7407,1.2934,1.5806,0.8805,0.7832,1.1706,-1.7322,0.2998,2.0673,1.4859,0.537,1.8119,1.6604,2.233,-0.4521,2.4359,-0.4131,1.5806,-2.0529,1.5064,-0.9406,2.5683,1.5998,1.3956,1.8683
CACNB1,-1.9942,0.9343,1.0983,-0.8339,0.9642,0.058,-0.2498,1.3397,1.9675,-1.0262,0.7058,-0.9406,2.3077,0.5955,0.24,-0.8599,0.044,0.9642,2.0742,1.2333,-0.1031,1.3901,-0.6193,-1.8314,-1.685,0.9642,-1.2142,0.7058,0.9789,0.2154,-1.7809,0.2029,0.2029,-2.3147,-1.0559,-2.5479,0.3231,-1.6394,0.6239,-0.0725,0.8082,1.2455,-2.114,-0.7346,-0.5756,1.5998,1.6327,-0.394,0.1388,-0.1665,-1.2481,-1.5105,-0.0725,0.1776,-2.6349,-0.9132,-1.8836,-1.6394,0.5763,2.5188,1.8242,-0.1993,0.0014,-0.8863,1.7185,0.8883,0.9419,1.7009,-1.0559,0.7832,-0.4521,-0.4325,-1.3548,-0.3022,1.1512,0.4967,-0.1504,1.7009,1.7617,-0.6416,-1.0262,1.2455,1.5013,0.3907,0.2029,-0.0877,0.9268,1.6234,0.3907,1.0503,2.1444,-1.4699,-0.7346,0.6145,-0.7834,0.7233,-1.0262,0.5955,1.125,3.2841,-0.0425,1.1833,0.3231,1.8722,-0.6643,0.8726,-1.8314,-0.3752,0.7748,0.9191,0.5568,1.2023,-1.8836,0.8961,-0.6416,1.1706,1.8604,2.0707,-1.1811,6.2681,1.2875,0.2881,0.3115
CACNB2,3.3134,1.4388,0.4761,-0.1665,1.2085,0.24,-2.3884,-2.114,-0.2671,1.595,2.1411,1.0573,3.0428,-0.8599,0.044,-3.0469,-0.6643,1.1117,3.1393,0.7233,0.6969,1.2576,2.2237,0.9493,0.8327,-0.8339,2.7161,-1.9379,-0.7834,-0.5543,-2.7274,0.9789,3.2466,-1.1488,-1.5105,-1.4305,-0.2498,-2.6349,2.3251,-2.8262,-1.4305,0.2277,-1.4305,-1.2828,-1.9942,-1.8314,-0.9406,-0.4131,-1.8314,-0.1665,1.0779,1.6187,1.2756,2.8897,-0.2498,0.6608,1.334,-0.6193,0.5955,0.7664,2.6738,1.4174,1.787,0.2277,1.125,1.9226,1.5661,1.9822,-0.7588,-0.8863,-0.8339,1.4335,2.1638,0.4657,0.7321,-0.3383,0.8082,-2.6349,-0.8084,0.4865,-0.0877,-2.0529,0.0718,-0.5543,0.9343,-1.1811,1.7954,1.0573,1.0293,-0.5125,-0.5543,1.5316,-3.6259,1.9859,-0.3566,3.0961,-0.5125,1.766,1.3567,0.9343,1.8078,0.7999,-0.5973,-0.4921,-1.4699,2.694,1.5465,1.9415,-1.5105,0.8726,3.2692,2.0776,-4.035,1.6327,2.5731,1.4335,-2.2447,-1.4305,2.0218,-1.1488,-0.8084,1.6512,-3.6259
