gene_name,TCGA-BF-A1PU-01,TCGA-BF-A1PX-01,TCGA-BF-A1PZ-01,TCGA-BF-A3DJ-01,TCGA-BF-A3DL-01,TCGA-BF-A3DM-01,TCGA-BF-A3DN-01,TCGA-BF-A5EO-01,TCGA-BF-A5EP-01,TCGA-BF-A5EQ-01,TCGA-BF-A5ER-01,TCGA-BF-A5ES-01,TCGA-D9-A3Z4-01,TCGA-D9-A4Z3-01,TCGA-D9-A4Z5-01,TCGA-EB-A1NK-01,TCGA-EB-A24C-01,TCGA-EB-A24D-01,TCGA-EB-A299-01,TCGA-EB-A3HV-01,TCGA-EB-A3XB-01,TCGA-EB-A3XC-01,TCGA-EB-A3XD-01,TCGA-EB-A3XE-01,TCGA-EB-A3XF-01,TCGA-EB-A3Y6-01,TCGA-EB-A3Y7-01,TCGA-EB-A41A-01,TCGA-EB-A41B-01,TCGA-EB-A42Y-01,TCGA-EB-A42Z-01,TCGA-EB-A430-01,TCGA-EB-A431-01,TCGA-EB-A44N-01,TCGA-EB-A44O-01,TCGA-EB-A44P-01,TCGA-EB-A4IQ-01,TCGA-EB-A4IS-01,TCGA-EB-A4OY-01,TCGA-EB-A4OZ-01,TCGA-EB-A4XL-01,TCGA-EB-A550-01,TCGA-EB-A551-01,TCGA-EB-A553-01,TCGA-EB-A5FP-01,TCGA-ER-A194-01,TCGA-ER-A196-01,TCGA-ER-A19K-01,TCGA-ER-A19T-01,TCGA-ER-A2NB-01,TCGA-ER-A2NF-01,TCGA-ER-A42H-01,TCGA-FR-A3R1-01,TCGA-FS-A1ZN-01,TCGA-GF-A2C7-01,TCGA-GN-A263-01,TCGA-GN-A26C-01,TCGA-HR-A5NC-01,TCGA-IH-A3EA-01
DKK4,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.2934,-9.9658,-5.5735,-5.5735,-5.5735,-1.7809,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.6259,-9.9658,-9.9658,-4.2934,-5.5735,-9.9658,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.2934,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658
DLG1,3.4264,2.5828,2.8502,3.8391,1.7489,3.027,4.1764,1.4808,1.9638,3.1588,1.3167,2.0673,3.9031,3.9175,3.2065,2.3981,3.8973,4.7762,3.1572,2.362,3.5274,3.2389,2.5338,2.2268,3.7857,3.483,0.8488,3.6335,3.6759,3.8441,3.186,3.2389,4.5898,3.7561,4.1732,3.8857,3.2707,3.4197,0.9115,1.7828,3.7432,4.1086,3.9992,2.5036,4.3527,0.679,3.8239,3.8915,4.6095,0.6425,2.4117,2.8137,4.4945,4.1812,3.6849,3.4237,3.8983,3.7171,1.8036
DLG2,-4.035,1.5998,-1.9379,-2.114,-5.5735,-1.8836,-1.3183,-4.2934,-3.1714,-2.1779,-4.035,-3.458,-1.5951,-1.5105,-1.5522,-3.816,-2.3147,-1.8314,-0.1828,-1.4305,-1.5522,-0.6643,0.4967,-0.9686,-2.2447,-2.5479,-5.0116,-2.3884,-0.7108,-3.3076,-3.458,-3.6259,-1.2142,0.5666,-1.6394,-0.4325,-2.114,-2.5479,-9.9658,-1.8314,-0.0877,-2.1779,-1.3183,-5.5735,-1.9942,-4.2934,-4.035,-0.6193,-1.8836,-2.5479,-1.4699,-3.1714,-3.0469,-1.8314,-2.9324,-4.035,-1.0559,-1.3183,-4.6082
DLG3,1.692,1.2934,1.4756,1.9111,-0.1187,0.7748,1.5115,-0.5756,-0.7588,-0.5543,-0.9132,0.5271,2.4439,3.1278,0.8883,1.766,1.3167,-0.0574,2.3592,1.6649,0.6332,1.5902,2.5213,0.6699,1.125,2.05,-0.5973,0.547,2.6533,-0.0877,1.5115,1.9149,0.9038,2.1798,2.6325,1.9452,1.2455,0.9789,-0.394,1.4494,1.7316,2.1606,1.9786,0.9191,0.4016,-1.4305,1.9564,0.5568,3.3535,0.6608,0.4233,0.1388,-0.8084,1.1184,0.6517,1.5216,2.8321,0.8568,-2.3884
DLG4,1.7702,1.736,2.4171,2.6738,2.1925,4.2877,3.6277,2.8034,2.685,1.9675,3.4224,3.7982,3.6242,2.4831,1.8762,0.8082,2.362,1.3791,2.6556,3.3897,1.2875,0.6517,1.766,3.5633,2.4623,2.0465,0.8327,1.9601,2.2603,1.4756,3.3017,1.2516,0.5955,2.1638,0.2522,4.1069,1.7532,3.2174,1.105,3.1129,3.1669,2.5238,1.4808,1.4228,1.3051,1.5216,3.1781,2.6441,2.3788,1.4065,0.517,2.5756,1.8879,3.5559,3.1028,1.7489,3.3379,1.3791,1.5758
DLG5,2.1213,2.9032,2.5948,2.0465,0.5955,2.5163,2.7161,2.2237,1.3901,2.2543,1.2992,2.5585,3.1669,3.66,2.3816,2.4225,2.167,1.5216,3.136,2.6278,0.8488,2.685,3.2112,1.3225,2.1509,1.6649,2.2482,2.6161,2.9857,2.9281,1.9749,2.0289,1.5661,2.9729,1.7446,2.8096,2.9581,2.3394,0.7233,2.1766,3.1112,3.3478,3.6195,1.8801,1.6045,1.7316,3.1749,2.7636,4.0575,2.1798,1.7912,2.3564,1.9638,2.1766,1.9415,0.8327,3.1507,2.4465,2.1476
DLL1,-0.9132,1.6187,-2.5479,-0.8599,0.1648,-0.3752,-0.1828,0.4125,2.8199,0.4552,-0.7834,1.1577,-1.1172,-1.6394,-1.3921,0.3115,0.2029,-1.5105,1.6512,1.9073,-0.5973,-0.1187,1.5165,0.9493,-0.013,-0.3752,-2.0529,-0.9132,-1.8314,0.7916,-0.7588,-3.1714,-0.3022,1.9034,-1.1811,0.4016,1.2333,0.2642,-0.4131,1.334,1.1447,2.2082,-0.3752,-0.7834,-1.0862,-1.9379,2.299,0.0718,1.1577,0.24,-1.0262,2.036,0.2881,-0.7108,0.058,-2.2447,0.4552,0.6425,-2.6349
DLL3,4.8949,2.2051,4.287,0.6608,1.7995,-1.2828,2.236,6.4741,4.2593,1.3735,4.4283,0.2154,4.3986,1.4228,4.9782,3.0056,1.2875,2.0254,0.2522,1.2147,0.7579,3.8033,1.3735,1.9749,0.5271,3.8876,4.2404,-0.3752,3.4517,-0.0725,0.0158,1.595,0.9343,-0.9406,1.4441,0.7999,3.0927,-1.8836,6.1502,2.3337,3.2944,-1.0862,-0.6193,5.1408,7.1606,7.1578,1.1117,3.9636,0.6425,3.0978,4.6702,2.6738,1.7009,-0.4521,5.756,4.1788,-0.7834,0.9343,7.0234
DLL4,0.9038,2.3981,-0.3752,1.1117,1.595,1.0222,1.766,0.7832,1.105,1.3051,1.4335,-0.6416,0.1124,1.1512,2.3366,0.2154,0.1519,-0.0425,1.3567,0.8883,0.5666,0.5859,1.4174,0.4125,0.1124,0.4657,0.1519,-1.1811,-0.8863,1.1641,0.8408,-0.7588,0.2277,0.9115,-0.4719,-0.4131,1.9786,0.7916,-0.6193,1.6512,0.1257,0.2881,1.0779,0.7999,0.1903,1.2333,1.7316,-0.4719,-0.4131,0.6969,0.5955,3.492,-0.2671,-0.1031,1.4174,-0.8339,1.9264,1.5165,0.8488
DNM1L,3.7762,3.5779,4.2951,4.6012,2.93,4.2526,4.1228,1.9302,4.4595,3.7752,2.7183,3.1179,4.812,4.3695,4.7307,3.055,5.0519,4.5717,3.991,2.8838,4.7517,4.9946,2.9205,3.2435,4.1844,4.5398,2.2901,4.5982,4.7404,4.2803,3.9571,3.7182,4.9924,4.3278,5.3169,5.1408,4.1376,4.3428,2.2452,2.0395,3.832,4.2243,3.7028,3.0074,4.7345,1.9264,4.2609,4.9915,5.8846,1.3567,3.5473,4.0162,4.3723,4.5699,4.0269,4.9237,3.3591,4.441,2.7993
DOCK2,-2.9324,2.9205,0.1903,2.3251,-1.1172,3.0927,1.7617,1.0503,-0.9406,2.4465,-0.6193,1.2576,2.4753,1.196,1.6875,0.7999,0.7407,1.595,1.4911,1.6327,1.5216,1.2992,3.0252,1.0847,2.167,0.8647,-1.4699,0.1257,1.0007,0.8647,1.1382,0.5955,-0.1665,2.1509,-0.1187,1.1447,-0.0725,3.9636,-0.7346,1.692,1.5165,0.3573,3.6359,0.3115,-2.5479,0.7832,-0.5125,0.8961,0.346,0.6969,2.2783,1.1706,1.5902,0.7493,0.058,0.679,3.7072,1.0847,0.517
DOCK4,-0.8084,0.4552,0.2762,0.9935,-0.6416,1.8201,3.5312,-0.394,3.1797,1.8201,-0.3201,-0.1828,2.5061,1.0983,1.7617,0.688,0.4657,0.7916,2.0289,1.642,1.0007,0.099,0.9642,-1.2828,1.8524,0.6145,-0.7108,0.3231,-0.6193,3.0774,1.9302,0.6969,0.8164,1.8604,0.5069,1.9968,1.0779,1.884,-2.3884,-1.2828,0.7999,1.8604,2.7292,0.7664,0.9493,-1.6394,0.1903,0.2642,2.0604,-1.8314,-0.1345,0.6425,2.3222,2.3871,2.3816,-0.8599,0.8647,1.8524,0.688
DRD1,-1.7322,-6.5064,-9.9658,-5.5735,-9.9658,-3.1714,-2.1779,-9.9658,-3.816,-5.0116,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-5.5735,-3.6259,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-4.035,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-6.5064,-4.6082,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-6.5064,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-5.0116,-3.6259,-9.9658,-5.5735
DRD2,-2.2447,-2.3147,-5.5735,-5.0116,-2.2447,-2.2447,-3.458,-9.9658,-3.1714,-6.5064,-6.5064,-9.9658,-2.4659,-1.7322,-3.6259,-6.5064,-5.0116,-6.5064,-1.8314,-3.3076,-5.0116,-4.6082,-2.6349,-5.5735,-5.5735,-9.9658,-3.816,-0.6873,-0.2159,-4.6082,-4.6082,-9.9658,-6.5064,-4.035,-3.6259,-4.2934,-3.816,-6.5064,-3.458,-0.3022,-3.6259,-1.7322,-6.5064,-5.0116,-9.9658,-5.0116,-4.6082,-9.9658,-1.1811,-6.5064,-4.2934,-1.6394,-6.5064,-4.6082,-6.5064,-5.0116,0.9935,-0.6643,-5.5735
DRD5,-9.9658,-6.5064,-9.9658,-6.5064,-9.9658,-4.035,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.6082,-9.9658,-9.9658,-9.9658,-5.5735,-4.2934,-6.5064,-9.9658,-5.5735,-5.5735,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-4.6082,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.816,-6.5064,-9.9658
DTX1,-2.8262,-0.0725,-2.114,1.5563,-0.1345,1.3397,-0.0425,-1.0262,2.6067,0.688,-1.1811,-1.4699,-0.7588,-1.5951,0.5955,-1.0559,-1.5951,-3.458,1.949,2.6873,3.1717,-0.9971,1.7532,0.9789,-2.3147,0.4125,-0.7346,-2.114,3.4894,3.6359,0.5568,-3.3076,0.9568,1.3901,-3.0469,-1.9379,1.3791,2.9802,0.03,0.2522,-0.5332,1.46,-0.5756,-0.8863,-1.5522,0.8408,-1.2481,-1.4699,1.5902,1.3735,0.1388,-0.7834,-2.7274,-1.4699,0.9789,-3.6259,1.0983,-0.394,-1.4305
DTX2,3.2236,4.8475,3.3856,3.2572,4.1376,3.8857,3.5535,4.3793,4.3583,3.9346,4.8545,4.1764,3.5187,3.2267,3.6347,4.0497,3.1145,3.5224,4.8719,4.7132,3.652,4.7115,3.928,4.0019,3.4674,3.8013,4.1946,3.2435,3.6382,4.1756,4.2258,4.1644,3.2647,4.1044,3.1813,3.9938,4.3285,4.1828,4.8156,5.3615,3.1749,4.1392,3.1079,3.7992,4.1962,3.8719,3.492,3.1876,3.5947,4.2412,3.0859,4.2563,3.3911,3.5022,4.2825,0.8883,4.1732,3.5875,3.9599
DTX3,3.8279,3.4143,4.6439,3.4765,5.1567,4.4673,4.061,5.0871,3.8511,1.6187,4.7693,4.166,4.468,4.4764,2.0878,2.5263,4.447,0.4761,4.8415,4.3667,3.5971,4.2951,2.9674,3.9242,3.3759,3.3003,5.5488,4.6265,5.2277,4.4582,4.3951,4.0935,3.6393,3.6077,4.073,5.1571,3.4224,4.5098,3.7507,4.6006,5.0553,3.616,1.5854,4.5367,4.623,2.8301,3.4868,3.8177,4.5736,1.6234,2.4306,5.0166,4.7976,4.6242,4.5349,2.9013,4.6809,3.4251,0.044
DTX3L,2.791,3.834,4.0593,4.565,2.3451,5.0549,3.8075,2.4675,2.2051,3.869,0.679,2.6895,4.2736,0.6425,3.2722,3.0446,3.5035,2.3423,3.2722,3.1475,2.5087,3.4424,2.1313,3.1908,4.5485,3.7378,1.1316,2.9032,2.3677,4.845,4.0073,3.3856,3.668,3.6089,3.4543,3.3321,3.2143,5.1799,0.8805,2.6161,3.5098,3.7961,5.7173,2.4144,3.0234,1.412,3.4424,2.7292,2.9338,1.1897,3.8075,0.8488,5.5934,3.492,1.2576,3.668,5.4393,1.9712,3.0654
DTX4,2.8681,3.7138,2.8402,1.4011,0.8883,2.6464,2.7742,3.3842,1.5115,3.9242,4.0153,2.6185,1.6045,-1.0262,1.0711,1.8643,3.5136,1.2394,2.1766,2.3704,3.0411,1.0573,2.8542,2.3953,4.0348,3.9608,1.412,0.346,2.5163,5.3726,1.9786,1.7954,1.7229,2.004,2.8199,3.9099,4.3442,3.6737,1.9968,1.9264,3.0446,3.0585,-1.0262,-0.8863,1.4011,-1.0262,3.8259,3.5982,3.2267,-0.1187,0.8647,5.1732,0.4657,2.6161,1.9786,0.1388,1.683,2.9109,0.5666
DUSP1,3.2359,3.6994,2.5828,3.3591,2.5313,3.5262,6.0924,3.9774,2.9747,4.0233,3.1212,3.5399,2.4779,2.6208,4.6224,3.0376,4.1498,2.362,5.374,3.8239,2.4701,3.3647,4.722,3.0038,3.0842,2.5924,1.2147,2.9167,2.8661,2.8701,3.2158,3.0446,2.4386,5.3388,4.3335,2.7292,5.2847,2.8321,0.7579,4.4457,3.7356,5.3999,3.38,1.674,1.8282,1.9149,5.582,2.93,3.5035,8.6838,2.8137,5.5107,2.6873,4.4101,3.8198,3.3661,5.5423,4.8182,3.2297
DUSP10,3.2692,3.6646,4.5868,2.7742,3.4183,3.1179,1.2576,3.5035,4.0799,3.2959,1.9786,5.2048,3.4358,3.0723,0.6145,3.1327,4.4423,1.3109,2.5087,1.5115,5.8528,5.1724,2.296,2.0569,2.9281,3.5224,2.9747,4.2646,3.3925,3.3521,2.6962,2.5852,5.1926,1.5661,4.6832,2.4332,4.2706,3.5779,0.4657,2.9784,1.3511,1.8762,4.9156,2.2573,5.3317,1.3791,5.5192,5.7918,3.0411,1.787,0.1519,2.0254,4.3848,2.2082,0.9935,4.2548,3.091,1.3225,4.9905
DUSP16,4.0144,2.3508,3.3993,2.5511,3.2112,3.7688,2.1213,2.108,2.6715,3.6101,3.9856,2.8381,3.0234,2.9525,4.0662,2.5413,4.8763,3.8759,2.6348,2.108,2.0325,2.5924,3.3364,2.5263,2.05,2.9432,1.1577,2.5061,2.6533,2.2872,2.1047,2.8502,3.5633,2.7183,3.0411,1.3791,3.8421,3.1572,4.1466,1.2394,3.0323,3.0358,2.9984,0.8883,2.7183,3.47,3.7678,3.6578,2.3337,1.4962,3.0428,2.0325,3.2929,2.8158,3.5911,2.5536,2.3222,3.4143,2.3394
DUSP2,0.9789,3.3235,0.4447,1.2023,0.7058,0.5666,0.2998,1.6234,1.9968,2.4779,2.8779,0.7748,3.0428,2.2391,2.004,0.24,-0.3201,2.4008,2.0878,1.2696,0.6425,2.2633,2.8936,2.1411,1.5563,1.7446,2.3953,1.7053,2.0395,1.1833,1.177,2.6895,0.2277,2.5972,1.46,1.105,3.2096,3.38,2.5924,3.1228,2.3704,2.2783,3.027,2.0638,0.9419,2.3222,2.6138,0.8246,2.2051,4.3848,2.9525,2.8602,2.1734,-0.0877,2.9618,-0.9132,3.034,2.2452,2.8602
DUSP3,6.0315,4.5243,5.7642,4.7474,4.9496,5.3999,5.0841,4.6548,4.8802,5.1997,5.4631,6.0698,5.1293,4.4758,4.8243,5.5681,6.1647,5.991,4.4061,4.1252,5.6628,5.435,5.073,5.3484,5.096,6.1524,5.6035,5.1895,5.3205,5.4738,4.6927,5.7533,6.4133,4.3392,6.0295,4.7334,4.8187,4.9002,3.8818,3.9487,3.6393,3.8837,4.421,4.837,5.5148,5.613,4.2758,6.2937,3.1426,4.0523,5.9074,4.9146,5.1404,4.85,5.1835,6.8313,5.1583,5.0488,5.3277
DUSP4,5.8854,6.1231,5.9468,5.4741,5.0998,5.6433,6.488,6.7542,6.9378,6.0228,5.4912,5.8832,5.5445,5.7989,4.7192,5.5976,5.3519,6.1248,5.0764,5.8125,6.459,5.5871,4.4881,4.851,4.717,5.7055,4.1828,5.6482,5.3954,3.1765,5.1161,5.7522,6.0507,5.7181,7.6911,4.8595,5.6554,5.3548,2.7465,3.7496,6.1206,4.3674,5.2111,4.1136,6.8027,4.7442,6.8334,5.7334,2.8877,3.4765,3.3003,2.6208,5.1019,5.0396,6.1303,5.1115,3.66,5.9165,4.2951
DUSP5,1.2271,3.7259,2.609,5.5314,0.9343,2.685,3.027,3.2841,4.3499,2.7073,0.8082,2.0111,3.9534,5.383,2.1213,0.9716,1.9675,0.7916,4.9663,3.1261,3.7345,3.9421,2.3677,1.9034,2.9013,3.0533,1.4065,2.8502,5.7751,2.2513,2.9875,0.5666,4.9732,2.8199,2.3816,1.125,2.6805,3.4997,1.2394,2.6348,5.0171,2.4727,3.3134,0.7058,2.4623,0.3231,3.7773,1.6045,1.6374,4.6657,1.2756,1.9895,3.4034,1.0222,1.7273,3.1245,2.0844,3.1062,4.443
DUSP6,6.5691,6.1266,6.6184,7.2318,5.5898,5.4647,8.1337,7.0073,7.6489,6.1701,5.0153,4.8934,6.4626,5.7552,8.4204,4.9612,5.9463,6.6267,6.8061,7.429,6.0907,6.4375,3.9874,5.3345,7.2561,6.8707,4.4027,6.0315,7.0448,3.772,7.0956,6.3011,6.6693,6.8427,7.3699,7.418,5.8997,6.5269,2.05,4.2676,8.0286,6.367,5.4819,4.2281,7.3583,4.7507,5.9533,5.533,3.1813,3.7006,5.434,4.073,7.6724,7.3707,7.0572,5.6645,4.0427,6.0837,5.8362
DUSP7,3.0757,3.9626,3.3061,3.9251,3.8064,3.7193,3.2752,4.5717,2.7594,3.2297,3.3148,3.5411,4.3477,4.5205,3.6136,3.3492,2.4985,2.8779,4.4108,4.0064,3.793,3.9589,4.6916,3.6451,3.8511,3.1908,3.2526,4.0019,3.29,3.4804,3.907,3.2174,2.7314,4.528,2.8602,3.2826,4.8788,3.6714,2.4198,4.3017,4.1086,5.5261,2.7487,0.6332,3.1507,2.7594,4.7247,3.0757,4.4582,4.9237,3.154,4.0392,3.2841,3.3856,3.9956,1.674,4.1515,3.2096,2.8916
DUSP8,1.6281,-0.9686,1.1897,-0.7108,2.8681,1.9527,-0.4325,-0.1345,1.2756,1.5854,2.036,2.6114,-0.9686,1.6327,0.7832,0.9568,2.2901,0.2762,0.1903,-0.0425,0.1257,-0.394,2.8681,0.5069,-2.3147,1.0363,-2.6349,0.434,2.7095,1.2394,-2.0529,-1.1811,2.5188,0.7058,-0.5973,-2.5479,1.0007,0.4016,-0.2328,0.9343,-0.4921,0.6517,1.9968,-1.8314,-0.2498,-0.2159,1.2394,-0.5756,1.8643,-0.1031,1.2696,0.7407,-0.1993,-0.3201,-0.5543,-2.1779,1.6187,0.688,2.6464
DUSP9,0.7664,-0.1828,2.0535,0.5763,-1.0862,-0.013,-3.6259,0.1776,-0.0425,-0.9406,0.8961,0.03,3.3421,0.7748,-0.8084,3.0723,-2.0529,-1.7809,-0.3022,-1.3548,-0.2845,2.2051,-0.4131,-0.3022,-0.8084,1.0433,1.0573,-0.8599,-0.4131,0.1124,1.1897,1.5266,-0.4719,-0.1345,0.8726,-1.9379,2.7594,-1.7322,-0.3383,-2.7274,-2.4659,1.0007,0.1124,1.3397,-1.8836,-3.816,1.0293,-3.3076,2.7139,-0.3201,2.2603,2.0742,0.6239,-1.0559,1.674,-1.9379,-4.6082,-1.9942,2.9765
DVL1,3.8501,4.2862,5.0418,4.4183,4.7793,5.0202,3.832,5.9484,5.1006,4.8954,4.7555,4.0348,5.2865,6.089,4.8724,5.1903,4.0841,4.1011,4.9426,4.7571,4.7491,4.6623,4.6468,4.1409,4.0901,4.0233,3.8421,3.4635,5.7041,4.8161,3.7248,4.7269,5.1334,4.5286,4.6697,4.4509,5.3402,4.6838,4.5053,5.489,4.9533,4.6972,4.8161,4.2541,4.439,5.5438,5.1061,4.0567,5.9376,4.7788,4.6736,5.1014,4.079,4.2366,3.4291,1.2271,5.8871,3.8187,5.4165
DVL2,5.2277,4.4868,5.2851,5.0392,4.2669,5.0032,4.3492,4.8125,4.5085,4.1716,5.1027,4.7929,5.3016,4.2173,4.4615,4.7913,5.1647,4.5098,4.2661,4.783,5.3111,5.2005,4.2173,4.1219,5.306,4.1891,4.4317,4.7517,4.3177,4.865,4.852,4.5173,5.0423,4.322,3.4843,4.3119,3.4622,5.4226,3.8013,3.1924,4.7093,3.66,4.0216,2.4934,4.0901,4.5898,3.7804,5.0162,4.2914,2.9413,4.6972,4.784,4.6611,4.728,4.9199,2.77,4.5066,4.4529,4.5442
DVL3,5.1433,4.4483,4.9691,4.3169,5.1144,4.8345,5.3692,5.3144,3.8187,4.2048,5.1465,4.5361,5.5299,4.2914,5.6753,5.591,4.4894,5.5392,4.5098,4.4357,4.7176,4.4013,4.3075,4.5318,4.9246,4.5255,5.1412,5.0985,5.1827,5.2694,4.6118,5.142,4.7934,4.4588,4.9782,5.0734,4.6702,4.5436,4.7258,4.0645,5.206,4.3639,4.3674,4.728,4.7651,6.0924,4.5808,4.3889,6.0361,3.7039,5.7845,3.7992,4.7819,5.1579,4.7677,4.0688,4.6012,4.9964,4.3583
E2F4,5.1132,4.7192,4.986,4.9796,5.3906,4.5711,5.0892,5.8357,5.6619,4.3737,4.1612,4.7677,4.6468,4.2227,6.035,5.3424,5.0704,4.8748,5.2702,4.846,5.2005,5.6916,5.1107,4.8605,5.7211,4.7898,4.366,5.2906,4.6668,6.0665,5.2601,4.6725,5.0383,5.2246,4.8002,5.4219,5.3173,5.5967,3.793,4.7597,4.6118,5.0321,5.1728,4.048,5.6585,4.2795,4.466,4.6165,4.7809,4.2639,4.3206,5.5475,5.0095,4.9635,4.6502,3.1971,4.6719,5.1027,4.8905
E2F5,2.2753,0.7233,1.0079,2.971,0.7579,2.496,1.1316,0.5666,2.5707,2.5313,0.8082,-0.5973,3.6725,4.0558,1.5709,3.1987,2.4934,3.1261,0.9568,0.2029,2.081,1.6187,0.099,0.4016,1.125,3.2988,-2.6349,2.0218,0.5568,1.6649,2.1734,2.753,2.5996,1.7185,3.0654,1.196,0.8961,2.362,-0.2328,-0.2671,2.183,2.0254,3.7193,-0.7108,1.8996,-0.8084,2.5388,1.9302,1.4547,-0.6643,1.2636,2.3337,3.0533,0.5568,2.2513,0.2762,3.7529,1.7954,1.5709
EBAG9,2.5828,2.93,3.3206,4.6212,1.4652,3.8511,3.2251,1.7532,3.2541,3.055,2.1047,1.7489,4.4615,3.3003,3.928,3.7215,4.1732,3.5022,3.2189,2.0218,4.3944,2.7183,2.8916,2.8199,4.5466,3.8147,2.2421,3.3435,2.7314,4.1676,3.7898,3.2343,3.245,3.6827,3.9829,3.8147,2.2082,3.4556,1.5661,1.5902,3.4556,3.492,4.5173,1.5514,3.1112,1.6281,3.2557,3.1393,2.0569,-0.1828,4.4437,4.2661,3.832,2.7805,3.6207,3.9412,3.5424,4.0901,2.7336
ECSIT,5.2204,4.01,4.588,4.0918,5.2799,5.4919,4.1692,3.7741,3.6359,4.2533,4.9901,3.4984,4.4108,6.3726,4.4983,4.6006,3.981,4.6679,5.0018,5.278,3.603,4.7793,4.8885,5.783,4.4771,4.3292,5.4337,4.287,6.299,5.0113,4.562,5.2335,3.3047,4.4881,4.7307,4.9355,4.8856,4.9987,6.2124,4.9108,4.6433,4.5148,4.6124,4.5405,2.8158,5.5426,3.9299,3.1685,4.7709,4.6195,5.0545,5.1073,3.1588,5.0291,4.1078,2.3953,5.8873,4.5028,5.6994
EDA,-0.3566,0.8327,1.1447,-1.3921,-3.1714,-1.0262,-2.4659,-3.0469,-4.2934,-2.0529,-1.1811,0.3231,0.6145,-0.0877,1.3735,-3.0469,-1.8314,0.5271,-1.2142,-0.0425,-3.0469,-2.3147,0.7058,0.5568,-1.8836,-0.1665,-0.4521,-4.2934,1.2271,-2.4659,-0.4131,-4.2934,-4.2934,-2.3884,-1.5951,-1.6394,-1.8314,-3.3076,-1.1488,-3.0469,-0.7588,0.3115,0.9789,-0.8599,-4.6082,0.0014,-2.1779,-1.9379,-2.7274,-1.7322,-1.4699,-1.0862,-4.035,-2.7274,-1.3921,-2.8262,-1.5522,1.1512,-1.3548
EDA2R,1.674,1.1833,0.2029,1.8484,-4.2934,2.0707,2.5487,1.9377,2.1988,2.0289,1.4911,-1.3921,1.7786,2.0183,2.8158,2.4386,1.0573,0.0158,0.03,0.9935,1.0433,-3.0469,0.1124,1.614,2.7379,1.125,-3.458,0.2522,2.7487,0.0158,1.3225,1.8036,-3.3076,-1.1811,2.8462,1.7995,1.8444,-0.5125,-2.3884,-1.5951,1.9601,1.674,3.944,0.2998,-3.816,-0.7346,1.5064,1.642,-0.2671,-2.9324,0.1519,1.3397,1.6466,1.46,2.6715,0.3796,-4.035,3.7269,0.9419
EDAR,-5.0116,-3.458,-6.5064,-5.5735,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-4.035,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-5.5735,-9.9658,-6.5064,-1.7322,-3.3076,-9.9658,-4.2934,0.6145,-4.035,-6.5064,-5.5735,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-2.1779,-9.9658,-6.5064,-2.9324,-2.8262,-9.9658,-5.5735,-5.5735,-0.8599,-9.9658,-5.5735,-9.9658,-9.9658,-2.9324,-5.0116,-9.9658,-4.035,-4.6082,-9.9658,-9.9658,-6.5064,-5.5735,-5.5735,-6.5064,-6.5064,-9.9658
EDARADD,1.4704,0.9268,-2.6349,-2.6349,-1.4699,-0.7834,-1.5522,-1.6394,-0.3201,-0.9132,-1.8314,-0.0425,-0.7108,-2.9324,-0.2328,-1.685,1.2934,-0.1828,0.679,0.1124,-4.035,-0.5973,0.9789,0.8327,-0.7588,-1.0262,-2.9324,-1.2481,-1.0862,-0.1665,-1.2828,-0.9971,-1.4305,0.2998,-1.9942,-2.7274,-0.4325,0.1776,2.9243,0.346,-0.1993,0.679,-0.2671,-3.1714,-3.0469,0.5069,0.517,-1.1488,-1.2142,-1.685,2.1047,-0.1993,-2.114,-1.2828,0.4447,-2.6349,-0.9971,-1.2142,-2.7274
